timestamp,accel1,velocity1,force
1769965786,0.0279297,0,1.08302
1769967242,0.0279297,4.06656e-05,1.08302
1769968743,0.0279297,8.25881e-05,1.08302
1769970189,0.0279297,0.000122974,1.08302
1769971658,0.0279297,0.000164003,1.08302
1769973106,0.0279297,0.000204445,1.08302
1769974568,0.0279297,0.000245278,1.08302
1769976031,0.0279297,0.00028614,1.08302
1769977487,0.0279297,0.000326805,1.08302
1769978934,0.0279297,0.00036722,1.08302
1769980431,0.0279297,0.00040903,1.08302
1769981888,0.0279297,0.000449724,1.08302
1769983335,0.0279297,0.000490138,1.08302
1769984792,0.0279297,0.000530832,1.08302
1769986222,0.0279297,0.000570771,1.08302
1769987706,0.0279297,0.000612219,1.08302
1769989162,0.0279297,0.000652884,0.930495
1769990632,0.0279297,0.000693941,0.930495
1769992107,0.0279297,0.000735137,0.930495
1769993564,0.0279297,0.000775831,0.930495
1769995029,0.0279297,0.000816748,0.930495
1769996488,0.0279297,0.000857497,0.930495
1769997943,0.0279297,0.000898135,0.930495
1769999405,0.0279297,0.000938968,0.930495
1770000863,0.0279297,0.00097969,0.930495
1770002306,0.0279297,0.00101999,0.930495
1770003787,0.0279297,0.00106136,0.930495
1770005230,0.0279297,0.00110166,0.930495
1770006712,0.0279297,0.00114305,1.08302
1770008156,0.0279297,0.00118338,0.930495
1770009637,0.0279297,0.00122474,0.930495
1770011105,0.0279297,0.00126575,1.08302
1770012561,0.0279297,0.00130641,1.08302
1770013993,0.0279297,0.00134641,1.08302
1770015455,0.0279297,0.00138724,1.08302
1770016910,0.0279297,0.00142788,0.930495
1770018405,0.0279297,0.00146963,0.930495
1770019861,0.0279297,0.0015103,0.930495
1770021314,0.0279297,0.00155088,0.930495
1770022780,0.0279297,0.00159182,1.08302
1770024231,0.0279297,0.00163235,1.08302
1770025713,0.0279297,0.00167374,0.930495
1770027155,0.0279297,0.00171402,1.08302
1770028641,0.0279297,0.00175552,1.08302
1770030105,0.0279297,0.00179641,1.08302
1770031561,0.0279297,0.00183708,1.08302
1770033018,0.0279297,0.00187777,1.08302
1770034455,0.0279297,0.0019179,1.08302
1770035912,0.0279297,0.0019586,1.08302
1770037355,0.0279297,0.0019989,1.08302
1770038812,0.0279297,0.00203959,0.930495
1770040255,0.0279297,0.0020799,1.08302
1770041744,0.0279297,0.00212148,1.08302
1770043205,0.0279297,0.00216229,0.930495
1770044685,0.0279297,0.00220362,1.08302
1770046130,0.0279297,0.00224398,1.08302
1770047612,0.0279297,0.00228537,1.08302
1770049113,0.0279297,0.0023273,0.930495
1770050578,0.0279297,0.00236821,0.930495
1770052014,0.0279297,0.00240832,0.930495
1770053458,0.0279297,0.00244865,0.930495
1770054916,0.0279297,0.00248937,0.930495
1770056405,0.0279297,0.00253096,0.930495
1770057861,0.0279297,0.00257163,0.930495
1770059306,0.0279297,0.00261198,0.930495
1770060777,0.0279297,0.00265307,0.930495
1770062232,0.0279297,0.00269371,0.930495
1770063713,0.0279297,0.00273507,0.930495
1770065167,0.0279297,0.00277568,0.930495
1770066655,0.0279297,0.00281724,0.777969
1770068106,0.0279297,0.00285777,0.777969
1770069562,0.0279297,0.00289843,0.777969
1770071018,0.0279297,0.0029391,0.930495
1770072480,0.0279297,0.00297993,0.777969
1770073935,0.0279297,0.00302057,0.777969
1770075430,0.0279297,0.00306232,0.777969
1770076886,0.0279297,0.00310299,0.777969
1770078331,0.0279297,0.00314335,0.777969
1770079812,0.0279297,0.00318471,0.777969
1770081261,0.0279297,0.00322518,0.777969
1770082742,0.0279297,0.00326654,0.777969
1770084180,0.0279297,0.00330671,0.777969
1770085669,0.0279297,0.00334829,0.777969
1770087131,0.0279297,0.00338913,0.777969
1770088588,0.0279297,0.00342982,0.777969
1770090021,0.0279297,0.00346984,0.777969
1770091480,0.0279297,0.00351059,0.777969
1770092941,0.0279297,0.0035514,0.777969
1770094430,0.0279297,0.00359299,0.777969
1770095885,0.0279297,0.00363362,0.930495
1770097335,0.0279297,0.00367412,0.930495
1770098817,0.0279297,0.00371551,0.930495
1770100281,0.0279297,0.0037564,0.930495
1770101764,0.0279297,0.00379782,0.930495
1770103205,0.0279297,0.00383807,0.930495
1770104663,0.0279297,0.00387879,0.930495
1770106105,0.0279297,0.00391907,0.930495
1770107563,0.0279297,0.00395979,0.930495
1770109031,0.0279297,0.00400079,0.930495
1770110489,0.0279297,0.00404151,0.777969
1770111931,0.0279297,0.00408178,0.777969
1770113420,0.0279297,0.00412337,0.777969
1770114880,0.0279297,0.00416415,0.777969
1770116330,0.0279297,0.00420465,0.930495
1770117797,0.0279297,0.00424562,0.930495
1770119231,0.0279297,0.00428567,0.777969
1770120712,0.0279297,0.00432704,0.930495
1770122156,0.0279297,0.00436737,0.930495
1770123637,0.0279297,0.00440873,0.930495
1770125105,0.0279297,0.00444973,0.930495
1770126560,0.0279297,0.00449037,0.930495
1770127991,0.0279297,0.00453034,0.930495
1770129447,0.0279297,0.004571,0.930495
1770130905,0.0279297,0.00461172,0.930495
1770132332,0.0279297,0.00465158,0.930495
1770133791,0.0279297,0.00469233,0.930495
1770135256,0.0279297,0.00473324,0.930495
1770136743,0.0279297,0.00477478,0.930495
1770138206,0.0279297,0.00481564,0.930495
1770139687,0.0279297,0.004857,0.930495
1770141131,0.0279297,0.00489733,0.930495
1770142613,0.0279297,0.00493872,0.930495
1770144105,0.0279297,0.00498039,0.930495
1770145561,0.0279297,0.00502106,0.930495
1770146992,0.0279297,0.00506103,0.930495
1770148455,0.0279297,0.00510189,1.08302
1770149895,0.0279297,0.00514211,1.08302
1770151356,0.0279297,0.00518291,1.08302
1770152813,0.0279297,0.00522361,1.08302
1770154256,0.0279297,0.00526391,1.08302
1770155740,0.0279297,0.00530536,1.23554
1770157207,0.0279297,0.00534633,1.23554
1770158691,0.0279297,0.00538778,1.08302
1770160106,0.0279297,0.0054273,1.08302
1770161563,0.0279297,0.00546799,1.08302
1770163022,0.0279297,0.00550874,1.08302
1770164455,0.0279297,0.00554876,1.08302
1770165910,0.0279297,0.0055894,1.08302
1770167356,0.0279297,0.00562979,1.08302
1770168813,0.0279297,0.00567048,1.08302
1770170256,0.0279297,0.00571078,1.08302
1770171737,0.0279297,0.00575215,1.08302
1770173181,0.0279297,0.00579248,1.08302
1770174606,0.0279297,0.00583228,1.08302
1770176106,0.0279297,0.00587417,1.08302
1770177563,0.0279297,0.00591487,1.08302
1770178962,0.0279297,0.00595394,1.08302
1770180405,0.0279297,0.00599424,1.08302
1770181867,0.0279297,0.00603508,1.08302
1770183306,0.0279297,0.00607527,1.08302
1770184786,0.0279297,0.0061166,0.930495
1770186231,0.0279297,0.00615696,1.08302
1770187714,0.0279297,0.00619838,0.930495
1770189182,0.0279297,0.00623938,1.08302
1770190662,0.0279297,0.00628072,1.08302
