timestamp,accel1,velocity1,force
1034753665,0.0214375,0,-0.0881875
1034755665,0.0214375,4.2875e-05,-0.0881875
1034757659,0.0214375,8.56214e-05,-0.0881875
1034759665,0.0214375,0.000128625,-0.240712
1034761664,-0.0084458,0.000111742,-0.240712
1034763659,-0.0084458,9.48925e-05,-0.0881875
1034765659,-0.0084458,7.80009e-05,-0.0881875
1034767664,-0.0084458,6.1067e-05,-0.0881875
1034769659,-0.0084458,4.42177e-05,-0.0881875
1034771666,-0.0084458,2.72669e-05,-0.0881875
1034773661,-0.0084458,1.04176e-05,-0.0881875
1034775656,0.0214375,5.31854e-05,-0.0881875
1034777659,0.0214375,9.61247e-05,-0.0881875
1034779655,0.0214375,0.000138914,-0.0881875
1034781670,0.0214375,0.00018211,-0.0881875
1034783662,-0.0084458,0.000165286,-0.0881875
1034785658,-0.0084458,0.000148429,-0.0881875
1034787659,-0.0084458,0.000131529,-0.0881875
1034789658,-0.0084458,0.000114645,-0.0881875
1034791658,-0.0084458,9.77539e-05,-0.0881875
1034793656,0.0214375,0.000140586,-0.0881875
1034795660,0.0214375,0.000183547,-0.0881875
1034797655,0.0214375,0.000226315,-0.0881875
1034799658,0.0214375,0.000269254,-0.0881875
1034801661,0.0214375,0.000312193,-0.0881875
1034803662,-0.0084458,0.000295293,-0.0881875
1034805657,-0.0084458,0.000278444,-0.0881875
1034807657,0.0214375,0.000321319,-0.0881875
1034809657,0.0214375,0.000364194,-0.0881875
1034811656,0.0214375,0.000407047,-0.0881875
1034813659,0.0214375,0.000449987,-0.0881875
1034815656,0.0214375,0.000492797,0.0643376
1034817656,0.0513447,0.000595487,0.0643376
1034819663,0.0513447,0.000698536,0.0643376
1034821663,0.0214375,0.000741411,0.0643376
1034823657,0.0214375,0.000784157,0.0643376
1034825662,0.0214375,0.000827139,0.0643376
1034827656,0.0214375,0.000869885,0.0643376
1034829656,0.0214375,0.000912761,0.0643376
1034831657,0.0214375,0.000955657,0.0643376
1034833661,0.0214375,0.000998618,0.0643376
1034835664,0.0214375,0.00104156,0.0643376
1034837664,0.0214375,0.00108443,0.0643376
1034839656,0.0214375,0.00112714,0.0643376
1034841657,0.0214375,0.00117003,0.0643376
1034843657,-0.0084458,0.00115314,0.0643376
1034845657,-0.0084458,0.00113625,0.0643376
1034847658,-0.0084458,0.00111935,-0.0881875
1034849660,-0.0084458,0.00110244,-0.0881875
1034851664,-0.0084458,0.00108551,-0.0881875
1034853656,-0.0084458,0.00106869,-0.0881875
1034855657,-0.0084458,0.00105179,-0.0881875
1034857658,-0.0084458,0.00103489,-0.0881875
1034859658,-0.0084458,0.001018,-0.0881875
1034861657,-0.0084458,0.00100112,-0.0881875
1034863655,-0.0084458,0.000984241,-0.0881875
1034865658,-0.0084458,0.000967324,-0.0881875
1034867664,-0.0084458,0.000950382,-0.0881875
1034869659,-0.0084458,0.000933533,-0.0881875
1034871656,-0.0084458,0.000916666,-0.0881875
1034873656,0.0214375,0.000959541,-0.0881875
1034875656,0.0214375,0.00100242,-0.0881875
1034877658,0.0214375,0.00104533,0.0643376
1034879659,0.0214375,0.00108823,0.0643376
1034881657,0.0214375,0.00113106,0.0643376
1034883663,-0.0084458,0.00111412,0.0643376
1034885663,-0.0084458,0.00109723,0.0643376
1034887657,-0.0084458,0.00108039,0.0643376
1034889658,-0.0084458,0.00106349,0.0643376
1034891657,0.0214375,0.00110634,0.0643376
1034893658,0.0214375,0.00114924,0.0643376
1034895657,0.0214375,0.00119209,0.0643376
1034897659,0.0214375,0.00123501,0.0643376
1034899663,0.0214375,0.00127797,0.0643376
1034901666,0.0214375,0.00132091,0.0643376
1034903662,-0.0084458,0.00130405,0.0643376
1034905656,-0.0084458,0.00128721,0.0643376
1034907657,-0.0084458,0.00127031,0.0643376
1034909655,0.0214375,0.00131314,-0.0881875
1034911653,0.0214375,0.00135597,0.0643376
1034913658,0.0214375,0.00139896,-0.0881875
1034915662,0.0214375,0.00144192,-0.0881875
1034917656,0.0214375,0.00148466,-0.0881875
1034919656,0.0214375,0.00152754,-0.0881875
1034921655,0.0214375,0.00157039,-0.0881875
1034923657,0.0214375,0.00161331,-0.0881875
1034925656,0.0214375,0.00165616,-0.0881875
1034927655,0.0214375,0.00169902,-0.0881875
1034929657,0.0214375,0.00174194,-0.0881875
1034931661,0.0214375,0.0017849,-0.0881875
1034933656,0.0214375,0.00182766,-0.0881875
1034935656,0.0214375,0.00187054,-0.0881875
1034937658,0.0214375,0.00191346,-0.0881875
1034939657,0.0214375,0.00195631,-0.0881875
1034941658,0.0214375,0.00199921,-0.0881875
1034943657,-0.0084458,0.00198232,-0.0881875
1034945656,-0.0084458,0.00196544,-0.0881875
1034947662,-0.0084458,0.0019485,-0.0881875
1034949661,-0.0084458,0.00193162,-0.0881875
1034951656,-0.0084458,0.00191477,-0.0881875
1034953656,-0.0084458,0.00189787,-0.0881875
1034955657,-0.0084458,0.00188097,-0.0881875
1034957655,-0.0084458,0.0018641,-0.0881875
1034959656,-0.0084458,0.0018472,-0.0881875
1034961658,-0.0084458,0.00183029,-0.0881875
1034963662,-0.0084458,0.00181337,-0.0881875
1034965659,-0.0084458,0.0017965,-0.0881875
1034967657,-0.0084458,0.00177962,-0.0881875
1034969655,-0.0084458,0.00176275,-0.0881875
1034971683,0.0214375,0.00180623,-0.0881875
1034973657,0.0214375,0.00184854,-0.0881875
1034975658,0.0214375,0.00189144,-0.0881875
1034977657,0.0214375,0.00193429,-0.0881875
1034979661,0.0214375,0.00197725,-0.0881875
1034981681,0.0214375,0.00202056,-0.0881875
1034983657,0.0214375,0.00206292,-0.0881875
1034985682,-0.0084458,0.00204581,-0.0881875
1034987656,-0.0084458,0.00202914,-0.0881875
1034989657,-0.0084458,0.00201224,-0.0881875
1034991682,0.0214375,0.00205565,-0.0881875
1034993657,0.0214375,0.00209799,-0.0881875
1034995662,0.0214375,0.00214098,-0.0881875
1034997682,0.0214375,0.00218428,-0.0881875
1034999656,0.0214375,0.0022266,-0.0881875
1035001685,0.0214375,0.00227009,-0.0881875
1035003680,-0.0084458,0.00225324,-0.0881875
1035005657,-0.0084458,0.00223655,-0.0881875
1035007657,-0.0084458,0.00221965,-0.0881875
1035009683,-0.0084458,0.00220254,-0.0881875
1035011662,0.0214375,0.00224497,-0.0881875
1035013663,0.0214375,0.00228786,-0.0881875
1035015682,0.0214375,0.00233115,-0.0881875
1035017681,0.0214375,0.002374,-0.0881875
1035019683,0.0214375,0.00241692,-0.0881875
1035021683,0.0214375,0.00245979,-0.240712
1035023684,-0.0084458,0.00244289,-0.0881875
1035025657,-0.0084458,0.00242623,-0.0881875
1035027664,-0.0084458,0.00240928,-0.0881875
1035029683,-0.0084458,0.00239223,-0.0881875
1035031684,-0.0084458,0.00237533,-0.0881875
1035033684,-0.0084458,0.00235844,-0.0881875
1035035685,-0.0084458,0.00234154,-0.0881875
1035037684,-0.0084458,0.00232465,-0.0881875
1035039683,-0.0084458,0.00230777,-0.0881875
1035041684,-0.0084458,0.00229087,-0.0881875
1035043663,-0.0084458,0.00227415,-0.0881875
1035045657,-0.0084458,0.00225731,-0.0881875
1035047658,-0.0084458,0.00224041,-0.0881875
1035049658,-0.0084458,0.00222352,-0.0881875
1035051659,-0.0084458,0.00220662,-0.0881875
1035053657,0.0214375,0.00224945,-0.0881875
1035055659,0.0214375,0.00229237,-0.0881875
1035057659,0.0214375,0.00233525,-0.0881875
1035059665,0.0214375,0.00237825,-0.0881875
1035061665,-0.0084458,0.00236136,-0.0881875
1035063659,-0.0084458,0.00234452,-0.0881875
1035065666,-0.0084458,0.00232757,-0.0881875
1035067664,-0.0084458,0.00231069,-0.240712
1035069656,-0.0084458,0.00229387,-0.0881875
1035071658,-0.0084458,0.00227696,-0.240712
1035073658,0.0214375,0.00231984,-0.0881875
1035075662,-0.0084458,0.00230291,-0.240712
1035077657,0.0214375,0.00234568,-0.240712
1035079657,-0.0084458,0.00232879,-0.240712
1035081657,-0.0084458,0.00231189,-0.240712
1035083658,-0.0084458,0.00229499,-0.240712
1035085657,-0.0084458,0.00227811,-0.240712
1035087657,-0.0084458,0.00226122,-0.0881875
1035089659,-0.0084458,0.00224431,-0.0881875
1035091665,-0.0084458,0.00222737,-0.0881875
1035093659,0.0214375,0.00227012,-0.0881875
1035095658,0.0214375,0.00231297,-0.0881875
1035097682,-0.0084458,0.00229587,-0.0881875
1035099684,-0.0084458,0.00227897,0.0643376
1035101683,-0.0084458,0.00226208,0.0643376
1035103684,-0.0084458,0.00224518,0.0643376
1035105684,-0.0084458,0.00222829,0.0643376
1035107666,-0.0084458,0.00221155,0.0643376
1035109683,-0.0084458,0.00219452,0.0643376
1035111681,-0.0084458,0.00217764,0.0643376
1035113682,-0.0084458,0.00216074,0.0643376
1035115683,-0.0084458,0.00214384,0.0643376
1035117683,-0.0084458,0.00212695,0.0643376
1035119682,-0.0084458,0.00211007,0.0643376
1035121684,-0.0084458,0.00209316,0.0643376
1035123663,-0.0084458,0.00207644,0.0643376
1035125663,-0.0084458,0.00205955,0.0643376
1035127682,-0.0084458,0.0020425,0.0643376
1035129682,-0.0084458,0.00202561,0.0643376
1035131693,0.0214375,0.00206872,0.0643376
